name,salary
Rasheem Green,"$893,139  "
James Winchester,"$890,000  "
Chris Wormley,"$889,911  "
Jamel Dean,"$889,713  "
Martinas Rankin,"$886,567  "
C.J. Beathard,"$882,162  "
Michael Gallup,"$880,995  "
Dawson Knox,"$880,400  "
Duke Riley,"$879,438  "
Bobby Evans,"$878,473  "
Tracy Walker,"$877,997  "
Quincy Williams,"$876,509  "
Orlando Brown Jr.,"$872,930  "
Yodny Cajuste,"$870,545  "
Justin Jones,"$867,905  "
Alexander Mattison,"$867,793  "
Alex Anzalone,"$866,398  "
Mark Andrews,"$863,290  "
Oshane Ximines,"$863,195  "
Joseph Noteboom,"$863,011  "
Arden Key,"$859,855  "
Oren Burks,"$857,889  "
Deadrin Senat,"$855,740  "
Tre'quan Smith,"$855,131  "
Mike Edwards,"$852,498  "
Chuks Okorafor,"$851,841  "
Ronnie Harrison,"$847,008  "
Jordan Richards,"$845,000  "
Trevor Williams,"$845,000  "
Alex Cappa,"$842,176  "
Tarell Basham,"$838,964  "
Tarvarius Moore,"$837,843  "
Dorian O'Daniel,"$836,585  "
Harrison Phillips,"$835,510  "
Blake Countess,"$835,000  "
Fabian Moreau,"$834,848  "
Mason Cole,"$831,379  "
Jordan Akins,"$831,271  "
Hakeem Butler,"$831,125  "
Isaac Yiadom,"$830,817  "
Ryan Finley,"$827,414  "
